,nx,ny,rsx,rsy,lsx,lsy,rhx,rhy,lhx,lhy,rkx,rky,lkx,lky,label,original_index
8642,-6.95652179999999,36.52173913,0.0,26.08695652,0.0,46.95652175000001,13.913043500000015,15.65217392000001,13.913043500000015,15.65217392000001,0.0,10.434782599999977,-13.913043500000015,10.43478260000002,0.0,21872.0
8643,0.0,31.304347820000004,0.0,26.08695652,0.0,41.73913044000001,13.913043500000015,20.86956522,13.913043500000015,20.86956522,0.0,10.434782599999977,-20.86956520000004,10.43478260000002,0.0,21874.0
8644,0.0,31.304347820000004,0.0,20.869565210000005,0.0,31.30434783999999,0.0,20.86956522,0.0,26.086956519999987,-6.956521699999968,5.2173912999999885,-20.86956520000004,15.652173899999966,0.0,21876.0
8645,0.0,26.08695652,0.0,15.652173910000002,0.0,26.086956529999995,0.0,15.652173900000008,0.0,20.869565199999997,-6.956521699999968,5.2173912999999885,-13.913043500000015,10.434782599999977,0.0,21878.0
8646,0.0,26.08695652,0.0,15.652173910000002,0.0,26.086956529999995,0.0,15.652173900000008,0.0,20.869565199999997,-13.913043399999992,0.0,-20.86956520000004,5.217391299999946,0.0,21880.0
8647,6.95652179999999,20.869565210000005,0.0,20.86956522,0.0,20.869565229999992,0.0,15.652173900000008,-6.956521700000025,20.869565199999997,-13.913043399999992,0.0,-13.913043500000015,5.217391299999946,0.0,21882.0
8648,6.95652179999999,15.652173910000002,6.956521700000025,20.86956522,0.0,15.65217392999999,-6.956521700000025,15.652173900000008,-13.913043399999992,20.869565199999997,-13.913043399999992,0.0,-13.913043500000015,5.217391299999946,0.0,21884.0
8649,6.95652179999999,10.43478261,0.0,20.86956522,0.0,5.217391300000003,-13.913043500000015,15.652173900000008,-13.913043399999992,20.869565199999997,-13.913043399999992,0.0,-13.913043500000015,10.434782599999977,0.0,21886.0
8650,6.95652179999999,5.2173913099999965,13.913043500000015,15.652173910000002,0.0,0.0,-13.913043500000015,15.652173900000008,-13.913043399999992,20.869565199999997,-13.913043399999992,0.0,-6.956521700000025,10.434782599999977,0.0,21888.0
8651,6.95652179999999,5.2173913099999965,6.95652179999999,15.652173910000002,0.0,-5.21739131999999,-13.913043500000015,15.652173900000008,-13.913043399999992,15.65217389999998,-13.913043399999992,-5.217391300000031,-13.913043500000015,5.217391299999946,0.0,21890.0
8652,13.913043500000015,0.0,13.913043500000015,15.652173910000002,0.0,-5.21739131999999,0.0,15.652173900000008,-13.913043399999992,15.65217389999998,-13.913043399999992,0.0,-6.956521700000025,5.217391299999946,0.0,21892.0
8653,13.913043500000015,0.0,13.913043500000015,10.43478261,0.0,-10.434782619999993,0.0,15.652173900000008,-13.913043399999992,15.65217389999998,-13.913043399999992,0.0,-6.956521700000025,5.217391299999946,0.0,21894.0
8654,13.913043500000015,0.0,20.86956520000004,5.217391300000003,0.0,-10.434782619999993,0.0,10.434782599999991,-13.913043399999992,15.65217389999998,-6.956521700000025,-5.217391300000031,-6.956521700000025,0.0,0.0,21896.0
8655,13.913043500000015,-5.2173913099999965,20.86956520000004,5.217391300000003,0.0,-10.434782619999993,0.0,10.434782599999991,-6.956521699999968,15.65217389999998,0.0,-5.217391300000031,0.0,5.217391299999946,0.0,21898.0
8656,20.869565300000005,-5.217391300000003,20.86956520000004,5.217391300000003,0.0,-15.65217392000001,0.0,10.434782599999991,-6.956521699999968,15.65217389999998,-6.956521700000025,0.0,0.0,0.0,0.0,21900.0
8657,20.869565300000005,-10.43478261,20.86956520000004,0.0,0.0,-20.869565230000006,-20.869565199999982,10.434782599999991,-6.956521699999968,15.65217389999998,0.0,0.0,-6.956521700000025,5.217391299999946,0.0,21902.0
8658,20.869565300000005,-10.43478261,20.86956520000004,0.0,0.0,-20.869565230000006,-20.869565199999982,10.434782599999991,-6.956521699999968,15.65217389999998,0.0,-5.2173912999999885,0.0,-5.217391300000031,0.0,21904.0
8659,20.869565300000005,-10.43478261,27.82608700000003,0.0,0.0,-15.65217392000001,0.0,10.434782599999991,-6.956521699999968,10.434782599999977,0.0,-5.2173912999999885,0.0,10.434782599999977,0.0,21906.0
8660,20.869565300000005,-10.43478261,27.82608700000003,0.0,0.0,-15.65217392000001,-6.95652179999999,10.434782599999991,-6.956521700000025,15.65217389999998,0.0,-5.2173912999999885,0.0,10.434782599999977,0.0,21908.0
